,Time,Text,Sentiment
43,2019-01-03 23:59:42+00:00,"nbcnews stop blaming apple the realdonaldtrump shituation are in. this all the tariffs winning supposed be overwhelmed by.. s much gop winning, shouldn have endure anymore. trump created blame him.","[71.62964789751047, 35.58328295630689, -0.5087043639400264]"
44,2019-01-04 23:59:59+00:00,chxlluminati way drop grammar looks like apple t fix it...oh well...but i bet knew exactly i trying say though,"[27.100338624452352, 16.071434287199196, -9.69854085484694]"
46,2019-01-04 23:59:59+00:00,insaneslay apple ecosystem gang,"[-0.8632873819928844, -2.3300199280406653, -11.413641026622763]"
47,2019-01-04 23:59:57+00:00,the obsession apple products crazy. i guess good interface user friendliness goes long way.,"[30.47274694227156, 29.314508594759744, 0.17200229242236276]"
48,2019-01-04 23:59:50+00:00,"when haven’t apple juice a minute you it, really might the best drink earth","[-5.017841421689705, 13.562176751961871, -11.2541802662859]"
49,2019-01-04 23:59:48+00:00,check what i selling mercari x lighting charger for iphon apple applewatch applemusic apples appleiphone applepie applestore applepicking applepencil appletv applecider applecidervinegar applefan appleandcoffee appletree appleo,"[51.26509658597978, 47.13166204268089, -9.051119019189585]"
50,2019-01-04 23:59:37+00:00,jannarden dfriend and are wonderful apple fell that superb tree. i hope writing beautiful obituary helped heal heart little bit. xo,"[35.35080285614644, 43.978762818488576, -1.77856526135254]"
51,2019-01-04 23:59:35+00:00,apple’s podcast app the worsttttt,"[-1.24632243224779, 18.79842876562116, -11.323040985566738]"
52,2019-01-04 23:59:34+00:00,"news trx neo eos xrp trump apple make iphone the u.s., china ico bch chor cart coinbase market tron article","[42.63453431415282, 52.46941325201179, -9.432830854582349]"
53,2019-01-04 23:59:33+00:00,apple face id doesn’t work cheeks full food. if think wanting look my phone stuffing my face not daily occurance you. are. wrong.,"[32.788784122575954, 19.399376370117082, -10.509393989769464]"
54,2019-01-04 23:59:31+00:00,meet new diet iphone could fresh formula boost apple&amp; ;s bottom line?,"[8.127402297604345, 15.615215877305062, -10.551255618366625]"
55,2019-01-05 23:59:59+00:00,rkelly dawg sick a bitch fucking creep i’m deleting off apple music hoe,"[31.546764595356006, 22.960099048933422, 0.17970841735013465]"
57,2019-01-05 23:59:56+00:00,idrop news giving away mm nike apple watch series june enter win,"[36.072419950479514, 28.43743100200598, -9.599405514816937]"
58,2019-01-05 23:59:55+00:00,kiaraffa i thougt you had apple ear pods i was like you done changed up,"[18.403305774955957, 4.911763390205493, -10.419033865397864]"
59,2019-01-05 23:59:53+00:00,"thomasbeautyy toast, bananas, crackers, apple sauce, drink gatorade","[9.730159530055356, 8.97411810157417, -10.770561497320468]"
60,2019-01-05 23:59:52+00:00,"cruxlo i mean, i know usually go the apple pucker,","[5.6902125539606745, 5.563460950259781, -10.15027437449055]"
61,2019-01-05 23:59:51+00:00,"tim cook hi tim, a business idea .... apple design optimization ar kit integration would result a great product wat could steve said a watch .. glasses ...iphone ... today have redefined wearables","[58.423906213950055, 55.09761612463616, -9.17067380937145]"
62,2019-01-05 23:59:51+00:00,"evntdrvn i think oscilloscope equals cray supercomputers. comparing apples oranges, it a freescale imx processor mhz, dhrystones performance, compared mhz cray . dhrystones.","[42.52845257809101, 44.121158014459446, -9.919181441942698]"
63,2019-01-05 23:59:50+00:00,scratch made goodness. our italian apple cake vanilla bean ice cream.,"[44.215413641587624, 61.542247678707426, -9.79591372671527]"
64,2019-01-05 23:59:41+00:00,i want win apple watch so bad thankyouteami applewatch,"[-3.9927598945779605, -2.322307814912549, -12.166659476782897]"
65,2019-01-05 23:59:39+00:00,at half dragons hold point lead broadway. scoring leaders carey points apple points,"[29.03389032382373, 50.54241093332079, -9.63797615693511]"
66,2019-01-06 23:59:57+00:00,i want win apple watch so bad thankyouteami applewatch,"[-3.9927598945779605, -2.322307814912549, -12.166659476782897]"
68,2019-01-06 23:59:56+00:00,i liked youtube video world s greatest typos bone apple tea,"[21.349059315570162, 25.060471915095164, -12.171542766691275]"
69,2019-01-06 23:59:56+00:00,apples slap,"[19.823326368332733, 11.05392894913417, -0.5946415069094648]"
70,2019-01-06 23:59:48+00:00,teachergifts apple string art teacher appreciation gift idea,"[10.921835251347343, 16.92818242512667, -11.283802937387705]"
71,2019-01-06 23:59:42+00:00,five big questions apple putting itunes samsung tvs,"[21.35340635043863, 18.21388024735883, 0.9926707723655994]"
72,2019-01-06 23:59:42+00:00,"zach ashton gets apple that goal well, first a t bird","[41.212573110257274, 30.87785620266876, -9.900413573452653]"
73,2019-01-06 23:59:41+00:00,"...and the smoker hot, throw an apple pie don’t biggreenegglife biggreenegg biggreenegg biggreenegglife grillmaster","[43.16157752538382, 32.338178418690624, -10.617881715059397]"
74,2019-01-06 23:59:34+00:00,very good used working gray apple iphone s gb a unlocked gsm phone b,"[16.86536035843041, 26.375449345410203, -11.167559022521473]"
75,2019-01-06 23:59:33+00:00,the phone that’s failing apple iphone xr l c,"[8.434497979996667, -0.49244595307421024, -13.238978277370109]"
76,2019-01-06 23:59:31+00:00,samsung smart tvs will support apple airplay itunes videos spring,"[32.085974799620224, 26.605225810840963, 0.3605563268050247]"
77,2019-01-07 23:59:53+00:00,"psa when ordering groceries online, selecting does mean bunch bananas, does mean bag apples.....it means one piece fruit.....and that’s it....... mental note made ‍️‍️","[56.87943350157054, 64.467909040055, -8.815325083586586]"
79,2019-01-07 23:59:52+00:00,apple stars giant tech confab ces — without actually there houston chronicle,"[38.49002821113378, 8.268302092405015, -10.637114235888447]"
80,2019-01-07 23:59:51+00:00,applesupport how i connect iphone my apple watch it tells to click “i” but what,"[23.381328451130944, 15.799490831302222, -9.066565067618797]"
81,2019-01-07 23:59:49+00:00,apple it’s an even trade. paid my yrs ago you want to trade in the xr retails ?...go eff,"[35.31577724824955, 26.46404501333471, -8.750916710856032]"
82,2019-01-07 23:59:47+00:00,"xiatian probably, i needed immediately the apple store the likely place get in stock.","[38.50930157836606, 38.72040345150479, -9.222927554365796]"
83,2019-01-07 23:59:45+00:00,"do want know we achieved cloudy layer effect? have look waterfall recipe, new fruity, poolside sipper. active ingredients gin apple schnapps blue curacao cocktails schnapps recipeoftheday tuesdaythoughts mumlife moms","[55.08009567973115, 60.80222327612904, 2.3936781039974164]"
84,2019-01-07 23:59:45+00:00,i remembered apple dumpling gang. a bunch rich little offensive kids,"[31.80596803656427, 30.475448791693324, 1.8634034255208718]"
85,2019-01-07 23:59:43+00:00,im glad have golden apples this,"[10.929849384112831, 26.92801236931324, -12.176853442443928]"
86,2019-01-07 23:59:40+00:00,orwellian how apple google obliterated first amendment the mobile web,"[5.466921548971844, 3.703645787499759, -10.099496469349099]"
87,2019-01-07 23:59:37+00:00,best part buying apple tv being able watch sports live nationalchampionship polypridetua,"[5.669183491505696, 3.3131830243299727, -11.137302530773866]"
88,2019-01-08 23:59:59+00:00,drinking rum barrel aged carmel apple tripel sunkingbrewing,"[-0.7505591734433807, 7.875505812906056, -11.446316935168547]"
90,2019-01-08 23:59:57+00:00,"“what apple’s greatest contribution mankind, will about health."" patientexperience patientaccess great interview tim cook jimcramer","[9.082371849214187, 5.598418869751235, -13.01076832935869]"
91,2019-01-08 23:59:51+00:00,minscalico dare you. apples superior,"[20.249301038956354, 9.393313402494233, -11.429937734185067]"
