,Time,Text,Sentiment
39,2019-01-03 23:59:41+00:00,"i absolutely going call ""the amazon"" now on, the way.","[-5.073634762661416, 6.772815508895448, -10.821717073985184]"
40,2019-01-03 23:59:39+00:00,"loopygoose if i may, i believe daughter might love new debut novel hannah the hollow tree available amazon signed copies via sticker postcard free happy reading, whatever lands her nightstand","[81.16146504674127, 24.203368337920338, -0.41039371768546573]"
41,2019-01-03 23:59:37+00:00,"i mean does two different colour scheme kassandra amazon set, it got different name soo.. feature? or i just horribly late this old news","[50.32417972326717, 18.744105856881205, -9.005547572201962]"
42,2019-01-03 23:59:34+00:00,summertime jernimolpez texastribune cnn nyc population well nassau westchester going the roof. most economically growing part the country. amazon google happy come here.,"[41.38853297207854, 25.831654787613175, -11.666342908733597]"
43,2019-01-03 23:59:29+00:00,i wait super mario to get next week instead it getting in three days via amazon prime,"[34.67312763702211, 28.437717271617345, -9.235597166964752]"
44,2019-01-04 23:59:59+00:00,is storefront know that i purchase nutribullet replacement cup? when procrastinating bites you ass...it’s sitting in my amazon cart i want a smoothie right,"[69.13054158252903, 55.03849772496561, -8.24810978530003]"
46,2019-01-04 23:59:55+00:00,why this something can buy amazon?,"[-5.02999962981234, -1.7734171894938489, -10.952835279077789]"
47,2019-01-04 23:59:52+00:00,anyone actually use one those amazon dash buttons,"[7.472912038323732, 7.025227786547902, 0.4518703059733937]"
48,2019-01-04 23:59:47+00:00,well i finished and loved the review on amazon. this such good read.bbthank sophie neville swallowsamazons,"[22.877634540944346, 45.750686734324134, -11.79900270009172]"
49,2019-01-04 23:59:44+00:00,"i listed safe haven [mass market] sparks, nicholas [dec , ], . via amazon","[42.592451648414354, 30.5573806986416, -11.478765771145987]"
50,2019-01-04 23:59:44+00:00,check this amazon deal echo dot rd gen bundle fire tv stick ... amazon via amazon,"[56.044220333613005, 17.507263786982776, -10.785700351638667]"
51,2019-01-04 23:59:42+00:00,amazon gift card giveaway,"[20.27822483461809, 20.21533058669685, -11.130139781124875]"
52,2019-01-04 23:59:41+00:00,"nearly classic, but not same kakicchysmusic mp downloads amazon prime","[28.2642822881522, 20.351180234812226, -10.626169100239586]"
53,2019-01-04 23:59:38+00:00,enter win amazon paypal gc the just because giveaway sonya happenings... ends,"[42.323854571256774, 31.2310432819634, -10.370003102792069]"
54,2019-01-04 23:59:30+00:00,amazon says million alexa devices have been sold,"[28.381805669341478, 9.326925236694073, -10.624007483817934]"
55,2019-01-05 23:59:50+00:00,"just leave the twitterverse, here is amazon wishlist i need up game romance i still t read lots loved ones","[24.13689531403151, 25.61417503266287, -10.240925066266485]"
57,2019-01-05 23:59:47+00:00,shop grocery items amazon pantry online super market store best pr... via,"[82.76237869276976, 61.27953429670175, -10.070817926863839]"
58,2019-01-05 23:59:44+00:00,"check us on instagram/riseupartist, also spotify deezer tidal amazon music google music more....","[9.221269952109882, 15.087406040089299, 1.093710296814379]"
59,2019-01-05 23:59:42+00:00,"check us on instagram/riseupartist, also spotify deezer tidal amazon music google music more....","[9.221269952109882, 15.087406040089299, 1.093710296814379]"
60,2019-01-05 23:59:41+00:00,sound strange. kakicchysmusic mp downloads amazon prime,"[21.733304768998554, 12.75830773549243, -11.86715154060781]"
61,2019-01-05 23:59:41+00:00,ad campaign? amazon literally throwing bills crowds.,"[42.12002122510022, 12.559601245580524, 0.541092834162356]"
