,Time,Text,Sentiment
69,2019-01-06 23:59:46+00:00,scriptsbyjames can imagine disney’s reaction how much happy would been?,"[21.628196903692395, 17.466777448627546, -12.278009429886907]"
70,2019-01-06 23:59:46+00:00,they need kingdom hearts land disneyland. instead the disney castle can add castle oblivion,"[50.743619029815996, 60.078713058139456, -8.75644415934552]"
71,2019-01-06 23:59:42+00:00,will society start treating harry potter obsessed adults same as disney obsessed adults????,"[34.61300229853115, 29.392947381776608, 0.0471320359471008]"
72,2019-01-06 23:59:40+00:00,findsaylorster people whining aren’t going pay greedy disney their plus plus sig annual pass every day max pass blah blah we priced of lowest annual pass years ago that’s just how is.,"[76.91764267970105, 53.099366660404726, 1.5141522353318777]"
73,2019-01-06 23:59:36+00:00,daniella fine only disney music playing the background,"[-1.670439482121988, 13.07094667598794, -10.915524122212226]"
74,2019-01-06 23:59:33+00:00,"“there more treasure books in the pirates loot treasure island best all, can enjoy riches every day your life.” walt disney","[11.923623655353499, -8.245549689445767, -13.508068932409813]"
75,2019-01-06 23:59:33+00:00,wdwrah maybe suggestions aren’t families kids? maybe they’re people attend disney parks without children?,"[28.32512876144921, 9.890967378358411, 1.35330381360248]"
76,2019-01-06 23:59:32+00:00,"so year disney live action remakes their animated movies dumbo, aladdin, the lion king marvel flicks captain marvel, avengers endgame, spider man far from home as well toy story , frozen star wars episode good try all, culture war over","[39.66565320613332, 89.52977555906166, -9.737577872802305]"
77,2019-01-07 23:59:58+00:00,pacevanrign disney,"[-0.8255470540100387, -2.004597527606038, -11.455943406313452]"
78,2019-01-07 23:59:57+00:00,disney movies see the disney marvel pixar movies,"[9.021794772468798, 6.09568712959431, -10.221214624710932]"
79,2019-01-07 23:59:56+00:00,disney news review new menu debuts backlot express disney’s hollywood studios like comment,"[31.183281157633974, 50.117083899639894, -9.63492141629824]"
80,2019-01-07 23:59:49+00:00,have ever dreamed going a disney cruise visiting walt disney world resort florida in one vacation? click link enter your chance to win two magical vacations people all...,"[81.85748346014799, 26.557213729110615, 2.819874599652124]"
81,2019-01-07 23:59:45+00:00,"why t ""really good navigating disney parks"" marketable skill? i be set.","[8.604322584722215, -2.588194500831215, -12.19056026824282]"
82,2019-01-07 23:59:44+00:00,cqofficial hannahmrozak lukefontana omg should watch the disney movies together,"[-4.815588822880993, -4.613140349756577, -10.72591840301515]"
83,2019-01-07 23:59:43+00:00,welcome walt express live today nick eyman be taking through latest disney rumors news. feel free share your friends catch us or...,"[41.48806675279153, 44.627698301141706, -10.635861587660443]"
