,Time,Text,Sentiment
15,2019-01-01 23:55:35+00:00,ranger i holding open interviews cooter. please send cv &amp; current pics via dm,"[38.48547608494427, 27.42474156790969, 2.4013928729189615]"
16,2019-01-01 23:55:24+00:00,"hello gq middle east hiring. we’re looking ️ a talented diligent deputy editor an ambitious, clever digital editor we’re three issues young, making smart, entertaining stories the region. send a cv a note you adambaidawi[at]gmail","[71.58168591118411, 59.38440426103071, 11.543169680222618]"
17,2019-01-01 23:54:42+00:00,"jmuagba clearly this, head holds nothing. i started seeing as questionable character. gap dey his cv head. he just another.....","[60.59485997631095, 43.64040061863453, -9.319662192931403]"
18,2019-01-01 23:52:00+00:00,professional cv / resume template word matching cover letter template jobs,"[47.875589896275756, 39.700896139025915, -9.62255199529811]"
19,2019-01-01 23:51:58+00:00,lukeace potam did send cv anywhere?,"[-3.75611495908215, -4.512156387563337, -10.85941855078983]"
20,2019-01-01 23:51:50+00:00,curiouszelda omg without doubt one the coolest photos ever discovering was one the coolest things last year ready oh ahh you an entire year,"[-2.2721014747020076, 16.90932798674298, 9.617967938371507]"
21,2019-01-01 23:51:36+00:00,"[dino cv ? ] i called ""bucking horse dino"", ""haneuma"", just ""dino"" [ dinobot]","[5.152214549987403, 7.785703693501986, -10.884580029757984]"
22,2019-01-02 23:59:14+00:00,“what’s insta?” translates “show cv” today’s digital dating world. she wants go size guesstimate net worth your outfit and lifestyle well investigate the girl tagged is. those follow are your references. standard,"[66.02714178078757, 47.381380077954006, 1.99157396777791]"
24,2019-01-02 23:57:18+00:00,"becka singleton theacademy had google ""cv"". in america, i never heard called anything than résumé.","[-6.223727169485865, -5.148020213358478, -10.359330326634122]"
25,2019-01-02 23:56:41+00:00,samuel pollen how actually reading cv? abiding age discrimination laws? not readvertising the same job every day pretending s new?,"[41.720732763345715, 49.68768590778694, 14.31008631575736]"
26,2019-01-02 23:55:33+00:00,"calling pr superstars � we looking fresh little pineapples join us . if are looking work experience fast paced agency have a passion publicity, want hear you email cv amy.mcintyre thepineapplerepublic.com �","[29.75445386768546, 26.710031661568863, 1.7917298169166003]"
27,2019-01-02 23:55:18+00:00,“walking broken glass” came cvs me the guy in the cold &amp;flu aisle started bopping reflexively,"[15.33423524063345, 11.315489665413473, -11.190651605164334]"
28,2019-01-02 23:55:08+00:00,"trevmckendrick nickjbasile yes i wanted write ""cv failures"", i think could a cathartic experience me cautionary tale others","[17.07098484739217, 16.59767072285723, -9.809730894119951]"
29,2019-01-02 23:55:05+00:00,is one the first people get pen licence ur class something u put ur cv,"[4.515409305775454, 5.941497338344917, -9.591654680945027]"
30,2019-01-02 23:55:02+00:00,joelrubin cvspharmacy and is cvs promised cut length its receipts cvs receipt,"[33.38599355109293, 34.22408661613698, -10.126900713656426]"
31,2019-01-02 23:53:55+00:00,venkmurthy anish koka yairgranot jnmafi davidlbrownmd boback profhayward willsuh khurramn agreed. fine line balance. our stringent criteria selects high cardiovascular risk. participation clinical trial other exclusions likely weed the high non cv risk burden.,"[75.4367567884965, 65.96190645443029, 14.717271293707554]"
32,2019-01-02 23:53:31+00:00,"misse hi there, take matters seriously understand importance receiving rx time. can please dm us your full name, phone number the cvs location your rx filled? thank you.","[76.29296089719732, 110.49124375717095, 1.408054919749091]"
33,2019-01-03 23:59:17+00:00,"couldn muster energy hit the gym tonight, i find enough strength walk cvs pick frozen snickers bars so, know, baby steps.","[91.80451765677188, 87.88519263573853, -7.488389496419856]"
35,2019-01-03 23:58:02+00:00,hahahaha,"[-0.05235716577655691, 8.82630201901136, -11.781365806748079]"
36,2019-01-03 23:57:33+00:00,finallevel i love daily games these kinds tweets also should put all together a book,"[19.242682033576006, 21.824214981631883, -10.940342463016322]"
37,2019-01-03 23:57:30+00:00,just putting out any producers might following. i looking more theatre television work year. so you going be casting paid projects please take look my spotlight cv playing age,"[27.265579072249427, 46.51408899773385, 2.2549131471889012]"
38,2019-01-03 23:56:07+00:00,"type ibuprofen recalled from walmart, cvs, family dollar, etc.","[30.018500850517068, 18.734746134406237, -10.31344701696704]"
39,2019-01-03 23:56:00+00:00,modern cv template cover letter template ms word jobs resume,"[40.65296773079852, 51.35847425882779, 2.1612098919917386]"
40,2019-01-03 23:55:46+00:00,"edokeefe ewarren she t any native american ancestry. however, used supposed family legends lore job applications, cvs, etc advantage over competition things like harvard professorships. disqualifying she t one your pet dems.","[88.65120908291166, 40.72474044366622, 2.4766424423725226]"
41,2019-01-03 23:55:12+00:00,sisterssavingucents cvs deals you must do / / cvs cvsdeals cvsfreebies cvscouponing couponlife couponfamily couponcommunuity,"[49.49243026050951, 32.14408320721423, -9.362846800369354]"
42,2019-01-03 23:55:11+00:00,cvs x nfclangaming i’m trying join,"[10.036202095441052, 7.8736699148637825, -10.617747986326144]"
43,2019-01-03 23:55:04+00:00,jonahmarais same jonahmarais maybe can see other there...,"[-5.553467674628226, -4.023440710675118, -10.756581964739247]"
44,2019-01-04 23:59:55+00:00,"cyberfrontier afterellen golriz not human rights lawyer lied political party website her cv. in reality, was on the defence team genocidal rwandan war criminals.","[27.440794145830854, 29.54700439562008, -10.589812233907452]"
46,2019-01-04 23:59:54+00:00,"i feel uncomfortable every time i go cvs now. some women like be hit but, me. it makes feel gross. now i t even get prescriptions without feeling like skank.","[52.894760180177336, 26.975865710858855, 11.436964929787578]"
47,2019-01-04 23:59:49+00:00,"another example why need health insurance reform. cvs, health insurers’ bids manage medicare part d prescription drug plans seniors been consistently in ways benefit companies the expense taxpayers via wsj","[79.88873058215928, 72.44475674336311, -7.600483121712372]"
48,2019-01-04 23:59:37+00:00,"the utaus the singer list me currently gahata meiji, kasane teto,keto meri cv act ,namine ritsu,czloid, a more.","[7.522769752888924, 15.945533450554322, -11.408328089383062]"
49,2019-01-04 23:59:37+00:00,blacksuncreates omg hate cvs. when took the pharmacy my target said was lying never one when called get script changed. also never answer phone. sorry u to deal that. hopefully get sheet together.,"[0.14939627468460936, 27.614989241407628, -11.645067320865664]"
50,2019-01-04 23:59:23+00:00,we looking an experienced dynamic sales rep join team cover saskatchewan/manitoba territory. please forward cv info perfectoptical.ca,"[11.182927862859476, 16.13664582419115, 0.9107924910508274]"
51,2019-01-04 23:59:22+00:00,thelightalex all of her products are in cvs,"[9.663668441035075, 8.590505932310897, -10.738725606001005]"
52,2019-01-04 23:58:20+00:00,recentlysarah exactly. prioritize matters you. and say rest. esp you not need to be cv whore. hashtag academia.,"[-2.053887078396097, 19.972792615319285, -12.649125127373708]"
53,2019-01-04 23:58:17+00:00,ai conference deadlines countdowns top cv/nlp/ml/robotics/ai conference deadlines,"[34.41905163850656, 62.93739239030961, -10.089244384960324]"
54,2019-01-04 23:58:08+00:00,shiwishdevil massage nostrils use allergy relief nasal spray. found your local cvs. shower clean wit egg. crack flush down toilet.,"[31.543016488973795, 30.91477246239519, 13.108591813382148]"
55,2019-01-05 23:59:40+00:00,"streak yt they cvs, obucks, dollar general cards too. i dont know way buy cards online though","[47.58063326684775, 61.56886245400273, 2.969864369594063]"
57,2019-01-05 23:59:32+00:00,"so is point setting pickup time a prescription cvs you’re just going fill hours early anyway? and y’all please stop auto filling even i turn option online, phone in person?","[74.60202665507977, 93.70246449428731, -6.581440236290874]"
