,Time,Text,Sentiment
42,2019-01-03 23:59:21+00:00,tweethue yes everything working again. i unlink relink account the google home app everything to work. thank you.,"[4.304587026262955, 9.550407488964353, -11.48852256435849]"
43,2019-01-03 23:59:20+00:00,miloshaymin marie kondo google,"[8.900774912554962, 7.721724438958963, -10.84752780426831]"
44,2019-01-04 23:59:59+00:00,missionbell it showed in google news feed my phone i assume yes,"[25.74254495362346, 7.264596564576578, -9.82015725036888]"
46,2019-01-04 23:59:58+00:00,vegannaise looks like app it vegan i i guess i’ll to google everything individually,"[-3.0980517086377786, 15.719066328145423, -10.882412935352818]"
47,2019-01-04 23:59:56+00:00,czubeck rashidatlaib teaching kids justice pedantry.... google,"[-0.8923323223280477, 7.479342885544398, -11.21180718452542]"
48,2019-01-04 23:59:54+00:00,now playing cashroute snapz runnin shit dl app google play &amp; ios apart the movement also tune in live fri &amp; sat pm am,"[24.757135538698765, 37.36927740639648, -8.660880836227264]"
49,2019-01-04 23:59:53+00:00,vault | sep why google search engine suggest &amp;quot;https&amp;quot;? q&amp;a dsqlive seo,"[28.808199177441406, 30.716733501572627, -10.673722860916968]"
50,2019-01-04 23:59:50+00:00,i a great conversation some educators connecticut today i so looking forward opening more google hangout conversations letstalk,"[25.02451672963524, 27.986039493514184, -0.822491226639869]"
51,2019-01-04 23:59:50+00:00,"m gonna make poster ms paint says ""jim gordon the cop d report crime to"" a bunch random pictures ben mckenzie find google","[87.2575605214612, 59.91993313913636, -7.554002291431473]"
52,2019-01-04 23:59:46+00:00,ppetshopp know used go google maps then write every instruction then freak if anything even looked like went wrong but... did not constantly get lost,"[17.250384934931862, 37.56628413877216, 2.8795449912335727]"
53,2019-01-04 23:59:45+00:00,beveldglass realdonaldtrump hate say hong kong china gots billionaires millionaires them bad trade deals. google and find out. that what president letting us know.,"[14.39600120154164, 73.20057168299479, 0.44385816796686584]"
54,2019-01-04 23:59:41+00:00,you to turn safe search you google first lady courtesan in chief this woman gets crap a dancing video. puhleez,"[31.88926652009575, 64.70856657021034, -10.284637039621046]"
55,2019-01-05 23:59:56+00:00,"ai microsoft, google use artificial intelligence fight hackers","[20.848922838932193, 20.515890455565824, 1.2450509308265154]"
57,2019-01-05 23:59:56+00:00,zuill cory did have google many men were make tweet?,"[20.04416866749185, 18.412467529064244, -9.783628004184251]"
58,2019-01-05 23:59:54+00:00,apparently don’t wear bra tits sag. lol. google thank god you tell truth.,"[11.563564213506016, 21.72376268973902, 0.04656161435229933]"
59,2019-01-05 23:59:44+00:00,gigismashly did climb?? had diving google thank you.,"[0.22818910920994706, 1.6792623414018943, -12.825510405636699]"
60,2019-01-05 23:59:44+00:00,"check us on instagram/riseupartist, also spotify deezer tidal amazon music google music more....","[9.221269952109882, 15.087406040089299, 1.093710296814379]"
61,2019-01-05 23:59:43+00:00,"jennifergeeky glad found u here, worried bit. well least enough do thorough google search... u prob dont remember me ""superlurkermaya/gil lj"" . well m glad see ur ok becoming mom","[16.067076689600373, 19.814254462762577, -13.208858805853296]"
62,2019-01-05 23:59:42+00:00,"check us on instagram/riseupartist, also spotify deezer tidal amazon music google music more....","[9.221269952109882, 15.087406040089299, 1.093710296814379]"
