,curr_close,prev_close,pos_sentiment,neg_sentiment
182,1785.300049,1794.160034,0,0
183,1741.609985,1785.300049,0,0
184,1768.329956,1741.609985,0,0
185,1739.839966,1768.329956,0,0
186,1725.449951,1739.839966,0,0
187,1735.910034,1725.449951,0,0
188,1735.650024,1735.910034,0,0
189,1713.22998,1735.650024,0,0
190,1724.420044,1713.22998,0,0
191,1739.650024,1724.420044,0,0
192,1732.660034,1739.650024,0,0
193,1705.51001,1732.660034,0,0
194,1721.98999,1705.51001,0,0
195,1720.26001,1721.98999,0,0
196,1731.920044,1720.26001,0,0
197,1736.430054,1731.920044,0,0
198,1767.380005,1736.430054,0,0
199,1777.430054,1767.380005,0,0
200,1787.47998,1777.430054,0,0
201,1757.51001,1787.47998,0,0
202,1785.660034,1757.51001,0,0
203,1765.72998,1785.660034,0,0
204,1762.170044,1765.72998,0,0
205,1780.780029,1762.170044,0,0
206,1761.329956,1780.780029,0,0
207,1777.079956,1761.329956,0,0
208,1762.709961,1777.079956,0,0
209,1779.98999,1762.709961,0,0
210,1776.660034,1779.98999,0,0
211,1791.439941,1776.660034,0,0
212,1804.660034,1791.439941,0,0
213,1801.709961,1804.660034,0,0
214,1795.77002,1801.709961,0,0
215,1788.199951,1795.77002,0,0
216,1785.880005,1788.199951,0,0
217,1771.650024,1785.880005,0,0
218,1778,1771.650024,0,0
219,1753.109985,1778,0,0
220,1754.599976,1753.109985,0,0
221,1739.48999,1754.599976,0,0
222,1752.530029,1739.48999,0,0
223,1752.790039,1752.530029,0,0
224,1745.530029,1752.790039,0,0
225,1734.709961,1745.530029,0,0
226,1745.719971,1734.709961,0,0
227,1773.839966,1745.719971,0,0
228,1796.939941,1773.839966,0,0
229,1818.51001,1796.939941,0,0
230,1800.800049,1818.51001,0,0
231,1781.599976,1800.800049,0,0
232,1769.959961,1781.599976,0,0
233,1760.689941,1769.959961,0,0
234,1740.47998,1760.689941,0,0
235,1751.599976,1740.47998,0,0
236,1749.51001,1751.599976,0,0
237,1739.209961,1749.51001,0,0
238,1748.719971,1739.209961,0,0
239,1760.329956,1748.719971,0,0
