,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-31,5.52,5.6,5.51,5.59,5.027966,109995396
1,2019-01-02,5.57,5.59,5.39,5.43,4.884052,215425385
2,2019-01-03,5.42,5.46,5.39,5.44,4.893047,154966670
3,2019-01-04,5.41,5.53,5.4,5.52,4.965004,165948892
4,2019-01-07,5.61,5.62,5.5,5.54,4.9829930000000004,154910388
5,2019-01-08,5.53,5.56,5.5,5.52,4.965004,184712391
6,2019-01-09,5.6,5.73,5.58,5.69,5.1179120000000005,291861580
7,2019-01-10,5.63,5.71,5.61,5.69,5.1179120000000005,181423246
8,2019-01-11,5.73,5.73,5.67,5.71,5.1359,179539948
9,2019-01-14,5.68,5.71,5.58,5.63,5.063944,170797188
10,2019-01-15,5.67,5.71,5.65,5.7,5.126906,203331658
11,2019-01-16,5.69,5.72,5.64,5.71,5.1359,164493733
12,2019-01-17,5.68,5.72,5.64,5.68,5.108917,313706760
13,2019-01-18,5.7,5.78,5.7,5.76,5.180873,185095822
14,2019-01-21,5.75,5.84,5.75,5.84,5.252831,187399289
15,2019-01-22,5.84,5.85,5.77,5.8,5.216851999999999,225010538
16,2019-01-23,5.82,5.85,5.8,5.82,5.234841,189689490
17,2019-01-24,5.85,5.85,5.79,5.84,5.252831,184079065
18,2019-01-25,5.9,5.99,5.87,5.97,5.369759999999999,368635455
19,2019-01-28,5.99,6.03,5.93,5.95,5.35177,189215573
20,2019-01-29,5.95,5.98,5.89,5.95,5.35177,225964956
21,2019-01-30,5.92,5.98,5.87,5.98,5.378754,232221958
22,2019-01-31,6.0,6.08,5.98,6.06,5.450711,263517641
23,2019-02-01,6.09,6.1,5.99,6.02,5.414732,175642569
24,2019-02-04,5.97,6.0,5.92,5.97,5.369759999999999,116734890
25,2019-02-08,5.87,5.96,5.82,5.94,5.342776000000001,189159727
26,2019-02-11,5.94,5.98,5.9,5.94,5.342776000000001,183386161
27,2019-02-12,5.95,5.96,5.89,5.94,5.342776000000001,170161169
28,2019-02-13,5.91,6.03,5.87,5.98,5.378754,250447504
29,2019-02-14,6.0,6.0,5.93,5.96,5.360765,160389057
30,2019-02-15,5.92,5.96,5.8,5.82,5.234841,205967479
31,2019-02-18,5.9,5.97,5.87,5.91,5.315792,184815826
32,2019-02-19,5.94,5.95,5.87,5.89,5.297803,188805838
33,2019-02-20,5.95,6.0,5.88,5.93,5.333781,204525604
34,2019-02-21,5.97,5.97,5.91,5.96,5.360765,237506237
35,2019-02-22,5.89,5.97,5.88,5.97,5.369759999999999,202068452
36,2019-02-25,6.0,6.18,5.98,6.16,5.540655999999999,524335409
37,2019-02-26,6.17,6.19,6.03,6.06,5.450711,412589361
38,2019-02-27,6.13,6.14,6.02,6.05,5.441716,299387944
39,2019-02-28,6.02,6.08,5.99,6.04,5.432722,248540962
40,2019-03-01,6.05,6.05,5.98,6.03,5.4237269999999995,254689087
41,2019-03-04,5.98,6.13,5.98,6.05,5.441716,313772664
42,2019-03-05,6.02,6.12,5.98,6.06,5.450711,293804712
43,2019-03-06,6.03,6.1,6.01,6.08,5.4687,221933582
44,2019-03-07,6.05,6.11,6.04,6.07,5.4597050000000005,159923870
45,2019-03-08,6.0,6.01,5.88,5.88,5.288808,451712402
46,2019-03-11,5.94,5.94,5.85,5.91,5.315792,191784275
47,2019-03-12,5.93,6.07,5.91,6.01,5.4057379999999995,278797803
48,2019-03-13,6.0,6.01,5.95,5.97,5.369759999999999,105050730
49,2019-03-14,5.98,5.99,5.9,5.97,5.369759999999999,132063742
50,2019-03-15,5.99,6.06,5.96,5.97,5.369759999999999,220203602
51,2019-03-18,5.98,6.05,5.97,6.03,5.4237269999999995,153774489
52,2019-03-19,6.04,6.07,6.01,6.04,5.432722,164927090
53,2019-03-20,6.0,6.05,6.0,6.0,5.396743,150483803
54,2019-03-21,6.04,6.05,5.97,5.97,5.369759999999999,137687622
55,2019-03-22,6.03,6.03,5.91,5.96,5.360765,201534965
56,2019-03-25,5.88,5.89,5.8,5.82,5.234841,282272568
57,2019-03-26,5.85,5.86,5.77,5.8,5.216851999999999,235664053
58,2019-03-27,5.8,5.85,5.79,5.81,5.225846,217054988
59,2019-03-28,5.78,5.8,5.74,5.8,5.216851999999999,240565868
60,2019-03-29,5.8,5.84,5.74,5.75,5.171879,418511989
61,2019-04-01,5.83,5.94,5.81,5.91,5.315792,300156472
62,2019-04-02,5.98,5.99,5.89,5.9,5.306798000000001,167164238
63,2019-04-03,5.95,5.96,5.89,5.94,5.342776000000001,198902761
64,2019-04-04,5.94,5.98,5.91,5.94,5.342776000000001,205033926
65,2019-04-08,5.94,6.0,5.94,5.96,5.360765,270687809
66,2019-04-09,5.95,5.95,5.9,5.91,5.315792,322623862
67,2019-04-10,5.87,5.89,5.84,5.86,5.270819,350605791
68,2019-04-11,5.83,5.86,5.8,5.83,5.243835,233231762
69,2019-04-12,5.8,5.87,5.79,5.87,5.279814,171132614
70,2019-04-15,5.89,5.97,5.84,5.85,5.261825,222904663
71,2019-04-16,5.83,6.04,5.82,6.03,5.4237269999999995,366978667
72,2019-04-17,6.04,6.08,6.01,6.06,5.450711,243861384
73,2019-04-18,6.03,6.06,5.97,6.0,5.396743,144133445
74,2019-04-23,5.94,5.97,5.9,5.95,5.35177,179525508
75,2019-04-24,5.94,5.96,5.87,5.9,5.306798000000001,174680657
76,2019-04-25,5.87,5.9,5.84,5.86,5.270819,179991814
77,2019-04-26,5.84,5.89,5.84,5.87,5.279814,110656863
78,2019-04-29,5.87,5.94,5.86,5.91,5.315792,157178851
79,2019-04-30,5.86,5.92,5.85,5.89,5.297803,158759016
80,2019-05-02,5.87,5.92,5.87,5.9,5.306798000000001,137199464
81,2019-05-03,5.86,5.91,5.82,5.91,5.315792,157528551
82,2019-05-06,5.81,5.83,5.68,5.77,5.189868,325602270
83,2019-05-07,5.76,5.8,5.74,5.74,5.162884,251026119
84,2019-05-08,5.65,5.69,5.64,5.65,5.081933,304032533
85,2019-05-09,5.6,5.63,5.48,5.5,4.947015,421012415
86,2019-05-10,5.57,5.62,5.5,5.52,4.965004,290991496
87,2019-05-14,5.4,5.47,5.37,5.45,4.902042,385708047
88,2019-05-15,5.43,5.55,5.43,5.48,4.929025,358637383
89,2019-05-16,5.42,5.59,5.42,5.55,4.991988,444282352
90,2019-05-17,5.59,5.59,5.51,5.52,4.965004,331401502
91,2019-05-20,5.52,5.59,5.5,5.58,5.018971,453185005
92,2019-05-21,5.54,5.68,5.54,5.6,5.03696,281227645
93,2019-05-22,5.63,5.64,5.56,5.62,5.05495,215644716
94,2019-05-23,5.59,5.64,5.56,5.59,5.027966,341238114
95,2019-05-24,5.55,5.65,5.55,5.62,5.05495,197863677
96,2019-05-27,5.58,5.64,5.53,5.6,5.03696,178222276
97,2019-05-28,5.59,5.63,5.54,5.54,4.9829930000000004,672057105
98,2019-05-29,5.49,5.59,5.47,5.53,4.973999,535717662
99,2019-05-30,5.5,5.64,5.5,5.6,5.03696,335730094
100,2019-05-31,5.58,5.64,5.58,5.6,5.03696,271862048
101,2019-06-03,5.6,5.64,5.55,5.6,5.03696,234775056
102,2019-06-04,5.6,5.62,5.56,5.58,5.018971,177435307
103,2019-06-05,5.65,5.65,5.57,5.57,5.009976999999999,267708180
104,2019-06-06,5.55,5.58,5.52,5.57,5.009976999999999,246569266
105,2019-06-10,5.55,5.71,5.52,5.68,5.108917,378417549
106,2019-06-11,5.69,5.79,5.65,5.77,5.189868,387865429
107,2019-06-12,5.72,5.79,5.7,5.73,5.1538900000000005,331410271
108,2019-06-13,5.68,5.76,5.63,5.74,5.162884,330311443
109,2019-06-14,5.71,5.76,5.69,5.74,5.162884,298442233
110,2019-06-17,5.76,5.82,5.73,5.8,5.216851999999999,295283294
111,2019-06-18,5.77,5.89,5.77,5.86,5.270819,339571010
112,2019-06-19,5.98,5.98,5.9,5.96,5.360765,304003940
113,2019-06-20,5.98,6.0,5.91,5.93,5.333781,345752496
114,2019-06-21,5.91,5.96,5.91,5.93,5.333781,299489257
115,2019-06-24,5.92,5.99,5.92,5.97,5.369759999999999,226666397
116,2019-06-25,5.67,5.7,5.48,5.61,5.298707,347257573
117,2019-06-26,5.57,5.64,5.55,5.6,5.289261,336286447
118,2019-06-27,5.63,5.71,5.62,5.68,5.364822,170945143
119,2019-06-28,5.7,5.71,5.65,5.7,5.383712,150252195
120,2019-07-02,5.75,5.77,5.67,5.67,5.355377,207162363
121,2019-07-03,5.67,5.7,5.58,5.61,5.298707,150044956
122,2019-07-04,5.59,5.63,5.56,5.58,5.270371,112282625
123,2019-07-05,5.56,5.59,5.52,5.55,5.242036,124385965
124,2019-07-08,5.5,5.53,5.47,5.51,5.204256,129823705
125,2019-07-09,5.51,5.53,5.46,5.47,5.166475,96102820
126,2019-07-10,5.51,5.51,5.46,5.49,5.185365,88004454
127,2019-07-11,5.53,5.54,5.5,5.51,5.204256,88597193
128,2019-07-12,5.45,5.57,5.45,5.52,5.213701,111509677
129,2019-07-15,5.47,5.54,5.42,5.52,5.213701,181595263
130,2019-07-16,5.52,5.55,5.49,5.55,5.242036,94285040
131,2019-07-17,5.5,5.53,5.48,5.53,5.223146,141090730
132,2019-07-18,5.5,5.54,5.48,5.51,5.204256,50551891
133,2019-07-19,5.55,5.6,5.53,5.58,5.270371,118747294
134,2019-07-22,5.56,5.59,5.5,5.5,5.1948099999999995,145717748
135,2019-07-23,5.5,5.55,5.5,5.53,5.223146,86199264
136,2019-07-24,5.52,5.6,5.52,5.54,5.232591,137143632
137,2019-07-25,5.54,5.58,5.53,5.57,5.260926,59108177
138,2019-07-26,5.51,5.53,5.5,5.52,5.213701,183625912
139,2019-07-29,5.5,5.5,5.36,5.39,5.090914,407321110
140,2019-07-30,5.36,5.41,5.35,5.37,5.072024,188929936
141,2019-07-31,5.32,5.35,5.28,5.3,5.005908,176454198
142,2019-08-01,5.3,5.3,5.25,5.25,4.958683000000001,237634879
143,2019-08-02,5.15,5.21,5.12,5.16,4.873677,298836768
144,2019-08-05,5.12,5.14,5.04,5.06,4.779225,303057535
145,2019-08-06,4.96,5.03,4.92,5.01,4.732,368304082
146,2019-08-07,5.02,5.02,4.95,4.99,4.713108999999999,178607185
147,2019-08-08,4.97,5.01,4.97,4.99,4.713108999999999,260279329
148,2019-08-09,5.02,5.03,4.98,4.98,4.703665,185253498
149,2019-08-12,4.98,5.04,4.98,4.98,4.703665,118987568
150,2019-08-13,4.93,4.97,4.87,4.88,4.609214,294926889
151,2019-08-14,4.96,4.96,4.89,4.91,4.637549,251131697
152,2019-08-15,4.88,4.99,4.87,4.95,4.6753290000000005,212930087
153,2019-08-16,4.92,5.02,4.92,4.96,4.684774,253731425
154,2019-08-19,5.0,5.03,4.94,4.98,4.703665,352390209
155,2019-08-20,4.94,4.97,4.91,4.94,4.665883999999999,347163537
156,2019-08-21,4.9,4.98,4.9,4.94,4.665883999999999,207398462
157,2019-08-22,4.91,4.95,4.89,4.93,4.656439,209359179
158,2019-08-23,4.93,4.99,4.91,4.95,4.6753290000000005,173725269
159,2019-08-26,4.85,4.91,4.81,4.9,4.628104,259483242
160,2019-08-27,4.89,4.91,4.87,4.87,4.599769,329615867
161,2019-08-28,4.91,4.93,4.86,4.89,4.618659,171350556
162,2019-08-29,4.85,4.92,4.85,4.89,4.618659,196919346
163,2019-08-30,4.93,5.03,4.92,4.95,4.6753290000000005,236144747
164,2019-09-02,4.9,4.99,4.9,4.95,4.6753290000000005,93916181
165,2019-09-03,4.9,4.96,4.9,4.92,4.646994,119502185
166,2019-09-04,4.93,5.11,4.93,5.07,4.788671,347581558
167,2019-09-05,5.05,5.18,5.05,5.14,4.854786,253144493
168,2019-09-06,5.19,5.19,5.12,5.18,4.892567,210755096
169,2019-09-09,5.16,5.22,5.15,5.19,4.902012,136399990
170,2019-09-10,5.22,5.24,5.19,5.22,4.930347,204729396
171,2019-09-11,5.24,5.4,5.22,5.37,5.072024,287533040
172,2019-09-12,5.4,5.43,5.34,5.38,5.081469,149270638
173,2019-09-13,5.42,5.45,5.38,5.45,5.147584999999999,128648950
174,2019-09-16,5.38,5.42,5.35,5.4,5.100359,231692000
175,2019-09-17,5.35,5.41,5.32,5.33,5.034244,243860984
176,2019-09-18,5.34,5.36,5.27,5.28,4.987018,99083993
177,2019-09-19,5.33,5.33,5.22,5.23,4.939793,115188553
178,2019-09-20,5.23,5.29,5.23,5.28,4.987018,238151317
179,2019-09-23,5.28,5.29,5.24,5.26,4.968128,120783517
180,2019-09-24,5.26,5.29,5.24,5.24,4.949237,140434072
181,2019-09-25,5.26,5.27,5.17,5.2,4.911457,146845800
182,2019-09-26,5.2,5.25,5.2,5.25,4.958683000000001,116990000
183,2019-09-27,5.23,5.25,5.18,5.19,4.902012,103697600
184,2019-09-30,5.15,5.28,5.12,5.25,4.958683000000001,147014700
185,2019-10-02,5.19,5.25,5.17,5.23,4.939793,153357800
186,2019-10-03,5.2,5.25,5.16,5.24,4.949237,154124300
187,2019-10-04,5.24,5.24,5.12,5.16,4.873677,115723200
188,2019-10-08,5.16,5.28,5.12,5.23,4.939793,180700700
189,2019-10-09,5.23,5.25,5.17,5.23,4.939793,200447800
190,2019-10-10,5.24,5.29,5.19,5.27,4.9775730000000005,115058000
191,2019-10-11,5.32,5.42,5.32,5.37,5.072024,237207900
192,2019-10-14,5.33,5.49,5.33,5.43,5.128695,224741300
193,2019-10-15,5.47,5.47,5.42,5.44,5.13814,184389300
194,2019-10-16,5.44,5.48,5.41,5.45,5.147584999999999,165145700
195,2019-10-17,5.5,5.5,5.43,5.48,5.17592,129179600
196,2019-10-18,5.45,5.49,5.4,5.42,5.11925,123170200
197,2019-10-21,5.44,5.45,5.4,5.43,5.128695,130447000
198,2019-10-22,5.45,5.5,5.44,5.46,5.157030000000001,108706400
199,2019-10-23,5.44,5.5,5.44,5.5,5.1948099999999995,185564900
200,2019-10-24,5.47,5.62,5.47,5.6,5.289261,224162100
201,2019-10-25,5.6,5.6,5.53,5.56,5.251481,120235300
202,2019-10-28,5.64,5.66,5.59,5.66,5.345932,187574900
203,2019-10-29,5.67,5.68,5.58,5.6,5.289261,149134800
204,2019-10-30,5.63,5.63,5.55,5.58,5.270371,177728400
205,2019-10-31,5.58,5.65,5.58,5.64,5.327042,202521800
206,2019-11-01,5.6,5.72,5.6,5.71,5.393158000000001,158365100
207,2019-11-04,5.71,5.82,5.71,5.82,5.497054,218933100
208,2019-11-05,5.79,5.84,5.77,5.81,5.487609,240875400
209,2019-11-06,5.78,5.84,5.77,5.8,5.478164,164392500
210,2019-11-07,5.78,5.9,5.78,5.88,5.553725,138948300
211,2019-11-08,5.9,5.9,5.83,5.86,5.534834,200268000
212,2019-11-11,5.83,5.84,5.64,5.69,5.374268,282322200
213,2019-11-12,5.75,5.75,5.65,5.71,5.393158000000001,125485200
214,2019-11-13,5.65,5.67,5.59,5.62,5.308152,244639200
215,2019-11-14,5.6,5.65,5.55,5.57,5.260926,191498300
216,2019-11-15,5.6,5.66,5.6,5.61,5.298707,155517700
217,2019-11-18,5.67,5.74,5.63,5.72,5.402603,172951000
218,2019-11-19,5.65,5.81,5.65,5.8,5.478164,177949700
219,2019-11-20,5.72,5.81,5.72,5.78,5.459274,174970400
220,2019-11-21,5.69,5.71,5.65,5.66,5.345932,266885200
221,2019-11-22,5.69,5.7,5.64,5.66,5.345932,168215200
222,2019-11-25,5.68,5.77,5.68,5.74,5.421493,185621000
223,2019-11-26,5.81,5.81,5.76,5.76,5.440383,305602600
224,2019-11-27,5.75,5.78,5.73,5.77,5.449829,107696800
225,2019-11-28,5.7,5.77,5.7,5.74,5.421493,108698000
226,2019-11-29,5.71,5.71,5.56,5.58,5.270371,268380900
227,2019-12-02,5.6,5.63,5.56,5.56,5.251481,121487600
228,2019-12-03,5.56,5.57,5.5,5.53,5.223146,185133100
229,2019-12-04,5.55,5.55,5.46,5.47,5.166475,197320200
230,2019-12-05,5.53,5.53,5.47,5.49,5.185365,143922100
231,2019-12-06,5.53,5.56,5.5,5.55,5.242036,157835700
232,2019-12-09,5.54,5.59,5.51,5.57,5.260926,136205900
233,2019-12-10,5.53,5.6,5.51,5.58,5.270371,119450500
234,2019-12-11,5.58,5.64,5.54,5.63,5.317597,175766300
235,2019-12-12,5.65,5.71,5.64,5.67,5.355377,147807100
236,2019-12-13,5.75,5.81,5.73,5.8,5.478164,257570300
237,2019-12-16,5.75,5.79,5.73,5.73,5.412048,198980400
238,2019-12-17,5.73,5.87,5.73,5.87,5.5442800000000005,263478500
239,2019-12-18,5.87,5.94,5.86,5.93,5.60095,317424100
240,2019-12-19,5.91,5.96,5.89,5.96,5.6292860000000005,138071600
241,2019-12-20,5.94,5.98,5.93,5.98,5.648176,204706500
242,2019-12-23,5.94,5.99,5.94,5.97,5.638731,126064900
243,2019-12-24,5.95,5.97,5.92,5.94,5.610395,51380320
244,2019-12-27,5.96,6.02,5.95,6.0,5.667066,153027500
245,2019-12-30,6.0,6.02,5.96,5.97,5.638731,226433500
246,2019-12-31,5.98,6.03,5.97,6.0,5.667066,143340000
