,Unnamed: 0,Time,Text,Sentiment
41,41,2019-01-03 23:59:19+00:00,disney xd having phineas ferb marathon i think i know we’re gonna today,"[-4.688225500176126, 8.565148735312652]"
42,42,2019-01-03 23:59:17+00:00,"designationsix goodbye mcdonalds, walmart, petsmart &amp; disney disappointing my family cannot give money people support fake damaging news.","[29.744179507164592, 15.081334140742078]"
43,43,2019-01-03 23:59:11+00:00,"netflix, disney marvel tv studios save daredevil sign petition via ukchange less away , signatures savedaredevil renewdaredevil daredevilseason charliecox notgivingup worththewait bringbackdaredevil","[24.01747410048547, -2.3287938051674306]"
44,44,2019-01-04 23:59:55+00:00,children heading disney killed fiery florida crash via wpri news what disney copy write laws shut and these kids should be aware the ramifications what disney done to effect long term lives.,"[52.460869343129296, 18.001013879264665]"
45,45,2019-01-04 23:59:54+00:00,charlie i matching tonight. we’re state high see sadertater squirrelgirl disney marvel squirrelgirl state college area high school,"[27.146094236799048, 7.796081761704533]"
46,46,2019-01-04 23:59:52+00:00,"netflix, disney marvel tv studios save daredevil sign petition via change","[16.650118122514673, -4.684965506596514]"
47,47,2019-01-04 23:59:51+00:00,children en route disney world among killed fiery florida crash,"[40.74954633299044, 14.012750158194626]"
48,48,2019-01-04 23:59:50+00:00,"disneyparks comes time the cost greater the value, disney surpassed this, park/ day, . shrinking micky premium. . a soda, a family on a two week vacation, need budget least extra extra the entrance.","[15.202122563307018, 5.472100628356861]"
49,49,2019-01-04 23:59:42+00:00,i added video a youtube playlist dark theories about dead disney characters,"[13.753528418145056, 28.735420178948292]"
50,50,2019-01-04 23:59:41+00:00,"i liked youtube video film theory disney biggest disasters moana, hercules, lion king...","[20.33917930524878, 18.679258217214137]"
51,51,2019-01-04 23:59:24+00:00,disney releases character posters live action dumbo film,"[18.51232773422767, 18.966811264437926]"
52,52,2019-01-04 23:59:22+00:00,ps i applied a job disney world either these jobs would a dream come true. please pray i find something soon thank all &lt;,"[19.91805270182788, 31.708147363287114]"
53,53,2019-01-04 23:59:17+00:00,"""first, think. second, believe. third, dream finally, dare"". walt disney leadership strategy","[33.734579554811525, 32.93929275016043]"
54,54,2019-01-04 23:59:17+00:00,disney named chip dale the chippendales bc thicc no one change mind,"[20.340768679736673, 31.318739364585067]"
55,55,2019-01-05 23:59:52+00:00,disney frozen blu ray steelbook new/sealed zavvi uk exclusive d d rare oop ebay ends h last price gbp .,"[66.9674504928481, 56.136049947048086]"
56,56,2019-01-05 23:59:52+00:00,tdaiwaves wait ur disney im going now,"[-2.2036844006589673, -3.335860675506426]"
57,57,2019-01-05 23:59:47+00:00,"abc disney, offering, &amp; special not used the sentence","[-3.5193411107355663, -2.57815430733884]"
58,58,2019-01-05 23:59:46+00:00,"reading the lines, i think one attraction iger probably isn’t fan of, that he’d ever say so. no ip. no big, “only disney could this” spectacle. no story. not “distinct” any real way","[24.294321722346456, 32.43691822003172]"
59,59,2019-01-05 23:59:37+00:00,i liked youtube video disney toybox tie fighter,"[-1.6638722925047162, -3.3590466876767824]"
60,60,2019-01-05 23:59:34+00:00,disney we cannot wait this one,"[-1.1092548781609424, -1.1004524305097425]"
61,61,2019-01-05 23:59:23+00:00,movie industry. disney,"[-0.4633409356791163, -2.52901736239429]"
62,62,2019-01-05 23:59:17+00:00,dizneyfiasco | episode let talk walt disney world annual passes via youtube,"[16.4222908456842, 16.903678850197327]"
63,63,2019-01-05 23:59:13+00:00,funny quotes disney cuties clipart disney clipart galore liked polyvore...,"[27.920064162751185, 22.68839187187395]"
64,64,2019-01-05 23:59:13+00:00,did know destwithchar the official travel agency orlparknews ? we invite to come follow us lots additional great travel &amp; disney tweets. dparkradio mendowdwpodcast themeparkology disney disneyaddict disneylove disneyparks disneyside,"[29.134590341281328, 10.59336792236295]"
65,65,2019-01-05 23:59:09+00:00,nr disney kingdomhearts blasphemy,"[-0.8232934458804106, -1.1148370569362422]"
66,66,2019-01-06 23:59:56+00:00,"daykhchallenge day favorite disney world the country musketeers, battle theme music so whimsical fun i truly loved it. plus comic book reality shift one my favorites dream drop distance","[49.86773476335292, 97.66325046828258]"
67,67,2019-01-06 23:59:55+00:00,someone take to disney world please,"[-2.38912618036161, -3.629270617414706]"
68,68,2019-01-06 23:59:52+00:00,stormisuponus monsters inc. a disney movie monsters get power the screams children,"[33.45149121243591, 23.5324987893047]"
69,69,2019-01-06 23:59:46+00:00,scriptsbyjames can imagine disney’s reaction how much happy would been?,"[21.646562610835463, 18.373063601121093]"
