,Unnamed: 0,Time,Text,Sentiment
36,36,2019-01-03 23:59:34+00:00,"microsoft releasing new feature powerpoint skype , allow individuals hearingloss more easily follow presentations audio calls microsoft adding real time captions powerpoint skype","[75.51772348782883, 112.75212996852261]"
37,37,2019-01-03 23:59:02+00:00,"microsoft research testing “bali,” way users manage “all data collected them” onmsft data privacy a quite big topic last year the grpd eu law coming effect, various facebook related scandals, more. just last month, m","[114.8045965298047, 97.61252800412922]"
38,38,2019-01-03 23:58:58+00:00,"microsoft research testing “bali,” way users manage “all data collected them” onmsft data privacy a quite big topic last year the grpd eu law coming effect, various facebook related scandals, more. just last month, m","[114.8045965298047, 97.61252800412922]"
39,39,2019-01-03 23:58:50+00:00,tensoftinc want implement microsoft dynamics business central? choose implementation plan best suited your business needs. learn here. msdynbc msdyn,"[26.600075265077766, 24.41581053936954]"
40,40,2019-01-03 23:58:47+00:00,"pc, microsoft, sony still t figured how make system brings people together like nintendo does.","[43.17504783236787, 54.288963123897965]"
41,41,2019-01-03 23:58:40+00:00,microsoft and amazon add ontology ont to its cloud computing marketplaces data center,"[50.853552972784534, 62.317645457233496]"
42,42,2019-01-03 23:58:21+00:00,"microsoft privately testing bali, way to give users control data collected about them","[49.30546428237456, 51.136371577816185]"
43,43,2019-01-03 23:58:16+00:00,maureenjohnson microsoft t translate but say s dutch. hope helps.,"[30.923464279865502, 38.47490244194665]"
44,44,2019-01-04 23:59:57+00:00,tegomass derpyeon ...microsoft translate saying,"[19.46526493300868, 11.583205955297254]"
45,45,2020-11-23 15:22:11+00:00,"do self manage databases premises today? read vexpert blog azizaqeelvm understand rds vmware help set up, operate, scale databases improve productivity lower costs.","[102.41215412411215, 65.71314470116451]"
46,46,2019-01-04 23:59:49+00:00,really envy people knows to use microsoft excel,"[6.7139161926952555, 9.80540135242328]"
47,47,2019-01-04 23:59:24+00:00,"just bought office home bring family microsoft goodness. extremly frustrated see i t use own domain outlook, without to transfer to godaddy is rediculously expensive especially a domain i already registered .","[91.91559657485546, 52.567805451759234]"
48,48,2019-01-04 23:59:21+00:00,xbox microsoft why you guys t thoroughly check really at fault banning suspendeding gamers. some gamers get upset certain people like choose ignore toxic messages gamers do do? they want report you.,"[112.0753790556381, 50.52553865414044]"
49,49,2019-01-04 23:59:16+00:00,"check new microsoft surface laptop intel core gb ram, gb dag colors ebay","[60.586977094336945, 51.541402753007155]"
50,50,2019-01-04 23:59:01+00:00,"chupacaubrey i t believe literally asking people pause button added, you should add it. something simple you t it, this happens microsoft buys a game? notch designed pause button already, add dont be lazy.","[111.38552803206584, 105.92902579759553]"
51,51,2019-01-04 23:58:55+00:00,"microsoft, twitter pinterest ? accounts been hacked into. set cunts.","[18.765240483816477, 10.41452041254819]"
52,52,2019-01-04 23:58:39+00:00,"shawnblanc you might actually looking microsoft onenote. you drop images, links etc, use pen tool apple pencil, it infinite canvas, extend and across no limit i’ve found","[59.566949082333984, 67.04306873895074]"
53,53,2019-01-04 23:58:33+00:00,"rt ontologynetwork binance st blockchain week in singapore month ontology be microsoft, goldman sachs, pwc, more. rt followers with binanceblockchainweek we give away free discounted tickets o…","[14.057894109959765, 3.2490018691402778]"
54,54,2019-01-04 23:58:25+00:00,"the microsoft implementation cmg cdp sccm cost total for month november. that approx , laptop devices will managed regardless whether are prem not.","[48.23384247605119, 40.49692037583083]"
55,55,2019-01-05 23:59:56+00:00,"ai microsoft, google use artificial intelligence fight hackers","[20.860527721686392, 21.415167633984314]"
56,56,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside.","[75.1630887480833, 54.2806501932506]"
57,57,2019-01-05 23:59:20+00:00,racheljwillie i fear spreadsheets. my concession professionalism year been make microsoft word document rather doing sums hand...,"[16.82157650210969, 18.191842146331386]"
58,58,2019-01-05 23:59:05+00:00,"kimdotcom pls, keep tweet alive. we been warned snowden, we still processing full extent brutal unconstitutional invasion our privacy, growing business our personal information run fb, google, amazon, microsoft, many smaller players.","[61.938174827595596, 72.07040799999953]"
59,59,2019-01-05 23:57:42+00:00,"jurassic world evolution microsoft xbox one, brand new and sealed game ebay ends h last price usd .","[51.88322537679296, 53.034271439797244]"
60,60,2019-01-05 23:57:40+00:00,"""instead spending hours cycling a list brain teasers ‘gotcha’ questions, microsoft essentially puts candidates work a single problem throughout day.""","[18.21960656885749, 61.436705497469504]"
61,61,2019-01-05 23:57:35+00:00,or you could win other great prizes microsoft xbox s gaming console bose soundsport wireless headphones pepsi branded football,"[85.11208534190304, 84.42170871147515]"
62,62,2019-01-05 23:56:41+00:00,titaniamcgrath microsoft it’s official.,"[9.10902772692251, 9.898469750966079]"
63,63,2019-01-05 23:56:40+00:00,new ebay microsoft xbox one s minecraft limited edition tb extra controller,"[60.07861568070031, 61.01814071752084]"
64,64,2019-01-05 23:56:27+00:00,"three ways brands benefit adopting voice technology aapl, amzn, googl, msft voice assistants like amazon alexa, google assistant, apple siri, microsoft cortana, pegged trigger widespread transformation across retail industry the years …","[76.72486354770014, 84.97795818953885]"
65,65,2019-01-05 23:56:16+00:00,nowthisnews could help with microsoft operating system?,"[20.97228234716895, 20.70506297271835]"
66,66,2019-01-06 23:59:57+00:00,watching microsoft “cupcake” commercial nflplayoffs reminds one the few bright spots following the redskins the past years — listening rak talk. what set pipes,"[38.30735508568083, 53.81745013341813]"
67,67,2020-11-23 15:22:11+00:00,"do self manage databases premises today? read vexpert blog azizaqeelvm understand rds vmware help set up, operate, scale databases improve productivity lower costs.","[102.41215412411215, 65.71314470116451]"
68,68,2019-01-06 23:59:52+00:00,"intriguing. and, ms track ppl on site? microsoft quietly testing project aims hand people complete control their online data","[77.72250831029373, 73.4398183566341]"
69,69,2019-01-06 23:58:41+00:00,"check this amazon deal microsoft surface pro intel core i, gb r... microsoft a best class laptop versatility a studio tablet more power — with the new th generation intel core processor","[87.75966469240824, 50.93204350554061]"
70,70,2019-01-06 23:58:00+00:00,paullaw microsoft probably because fat a depreciated file system a gb file size limit was obsolete nearly years ago? guessing windows / linux / playstation interop?,"[116.36866420994923, 60.923476645075674]"
71,71,2019-01-06 23:57:55+00:00,microsofthelps through microsoft store,"[27.39297582274295, 28.182417846786517]"
72,72,2019-01-06 23:57:46+00:00,microsoft reveals new surface lineup amazonwebservices,"[20.680599421997137, 20.453594332078875]"
73,73,2019-01-06 23:57:28+00:00,bissonhunter hello there. thanks bringing to attention. may first verify you purchasing via xbox store through microsoft store website? iris,"[66.27083255044975, 60.646798501388886]"
74,74,2019-01-06 23:57:21+00:00,"one curious abilities the surface laptop the ability run windows pro. while the marketing microsoft’s lightweight laptop focused mainstream personal use, pro powered surface laptop attractive enterprise customers.","[86.4196060382985, 108.04451735618301]"
75,75,2019-01-06 23:57:08+00:00,bbc future microsoft it’s pity the photos your otherwise fascinating piece obscured the text; two pics each page visible,"[54.064212670467505, 43.176099904561035]"
